date,age,gender,dominant_race,dominant_emotion,region.x,region.y,region.w,region.h,race.asian,race.indian,race.black,race.white,race.middle eastern,race.latino hispanic,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral
2004Aug.png,33,Man,white,fear,327,162,280,280,0.01568684820085764,0.00559474246983882,0.0001905377757793758,98.13388586044312,0.8267125114798546,1.0179372504353523,0.0750160135794431,3.1133950528783316e-05,82.35390186309814,0.5725067108869553,1.5983108431100845,0.0010276653483742848,15.399202704429626
2004Jun.png,28,Woman,white,neutral,352,185,253,253,5.524386093020439,5.093848705291748,1.4866129495203495,38.71116042137146,19.009321928024292,30.1746666431427,0.4646263085305691,0.00838629130157642,0.7240161299705505,0.23371437564492226,1.9484469667077065,0.0757508969400078,96.54505848884583
2004Sep.png,37,Woman,white,neutral,523,79,236,236,1.7474540109919643e-11,6.033417736977997e-13,9.154584574250592e-16,99.99999403953517,2.4750794890058473e-06,6.545701970916638e-06,2.3487632631518403,0.001059363211812913,9.530653627553798,4.958312508959324,9.62093157296965,21.353760144338615,52.1865220181061
2004Nov.png,33,Woman,latino hispanic,happy,472,132,208,208,6.979078054428101,9.467530250549316,3.9532367140054703,17.558179795742035,8.027053624391556,54.01492118835449,9.308222437535698e-20,0.0,4.6731094660848624e-31,99.99370574951172,6.469970875668234e-18,8.654724309995528e-14,0.006291409226832911
2004Feb.png,31,Woman,white,happy,377,123,237,237,0.04663189491826804,0.00230264695181855,0.0001772884745718739,99.1427422591755,0.2916400904488456,0.5165011937616832,0.8412535302340984,0.003330369509058073,39.6232545375824,48.17084074020386,8.027642965316772,0.05282023921608925,3.280862048268318
2004Dec.png,28,Woman,black,happy,246,152,405,405,14.465804398059845,13.858455419540405,34.52793061733246,7.452034205198288,6.18240162730217,23.513370752334595,8.503420667512065e-15,4.414094604993109e-29,1.2899787140917134e-18,99.97912049293518,1.0303098028604032e-11,2.4875894677478527e-07,0.02087877073790878
2004Mar.png,36,Woman,white,happy,455,74,130,130,1.857590302824974,3.169523924589157,0.4441989120095968,54.488056898117065,21.022285521030426,19.018344581127167,1.0066102198080513e-09,3.7608221155745557e-19,3.9107206456258816e-14,99.97199773621546,5.3312839961806915e-09,4.144914880797516e-07,0.028000133384027088
2009Dec.png,25,Man,white,angry,276,128,198,198,0.8174152600714719,1.1913571285520272,0.15716674743096515,55.62260482445984,15.414936269219892,26.796521353514276,98.41119041509572,1.5698142168243178e-12,0.0001991400613868273,1.2867230537510132e-05,0.010773683521678434,2.5021813891244365e-08,1.577826683391731
2009Apr.png,29,Man,latino hispanic,neutral,478,127,79,79,3.5166680812835693,6.934216618537903,4.371989890933037,29.427021741867065,22.184260189533234,33.56584310531616,0.14212557580322027,1.066700239249485e-06,0.5217188037931919,1.2787612155079842,4.6341098845005035,0.003659275171230547,93.41962933540344
2009May.png,28,Woman,white,neutral,322,160,111,111,0.2941642189398408,0.5712319631129503,0.10575862834230065,74.01765584945679,9.58629697561264,15.424887835979462,0.13063164275179165,8.857500933484594e-18,0.11380037272649245,4.371379387287537e-10,5.009875000111759,6.626634636313898e-08,94.74569527779194
2009Nov.png,24,Woman,latino hispanic,neutral,367,110,225,225,24.996109306812286,7.169485837221146,6.559024751186371,18.996524810791016,7.833999395370483,34.444862604141235,1.087841816627133e-06,4.55458033858897e-22,5.4925028081243e-06,1.0221231955438725e-11,0.05015405477024615,2.3985970680354476e-12,99.94983673095703
2009Feb.png,39,Woman,white,happy,293,185,207,207,2.559926012488112e-10,9.575826243057861e-10,8.064887834977313e-13,99.99839067459106,0.0005133765171194682,0.001100349982152693,0.00031740969461679924,0.001398875338054495,0.0027131824026582763,97.62117266654968,0.5384185817092657,0.0022256157535593957,1.8337564542889595
2009Oct.png,26,Woman,white,neutral,182,147,207,207,0.0020027010862113622,1.7836138607807862e-05,3.9673751095446236e-07,99.92491006403625,0.0073298110513555885,0.06573706442226854,1.9932903349399567,1.946775896044528e-06,0.19061868079006672,0.0017700032913126051,24.206919968128204,0.00024275479972857283,73.60715866088867
2009Jan.png,28,Woman,white,neutral,197,153,254,254,1.0496268048882484,2.880016155540943,0.5890630651265383,43.68603527545929,20.426180958747864,31.369078159332275,21.819948960539637,4.6019679527567725e-11,5.774976219498823e-05,0.00014966139797998893,0.4234470213769091,9.103381785873319e-10,77.75639759042248
2009Jun.png,31,Woman,white,neutral,524,208,205,205,0.0005563910027128427,0.01752344042248989,0.0003348755227372708,90.46613091634143,6.099774706390535,3.4156743090540993,0.014299567556008697,7.455273731693524e-06,19.08799260854721,6.594254821538925,0.4267063457518816,0.002049900467682164,73.87468814849854
2007Jul.png,32,Woman,white,neutral,318,189,184,184,0.9368970990180969,2.99278162419796,2.247152104973793,67.4428641796112,7.705988734960556,18.674322962760925,0.297210062853992,6.897898430224814e-06,0.20098774693906307,0.369253009557724,0.7399688940495253,0.0013228634998085909,98.39125275611877
2007Jan.png,33,Woman,white,happy,401,120,242,242,0.022447372612077743,0.006627733091590926,0.0010545216355239972,97.90664315223694,0.5444520153105259,1.5187754295766354,0.04324975307099521,0.006062793909222819,1.2596284970641136,69.33556199073792,0.09879671270027757,0.012192454596515745,29.24450933933258
2007May.png,30,Woman,white,happy,268,274,306,306,1.8282394856214523,2.301359362900257,0.4531503189355135,62.27036714553833,14.30233120918274,18.84455680847168,0.07385099008406817,7.675373803043298e-05,0.6070134437664219,52.795666122953165,0.10802537312056147,0.08585839672957102,46.32950468903724
2007Jun.png,30,Woman,white,fear,335,150,213,213,3.551976135440782e-05,5.373860858526314e-05,7.619403774583589e-07,99.1209864616394,0.1162941800430417,0.7626311387866735,0.02981986035592854,0.00043304403334332164,50.12964606285095,36.79294288158417,0.6415887270122766,0.07200654363259673,12.333562970161438
2007Nov.png,29,Woman,white,neutral,406,337,286,286,0.000479800440087641,0.000595004328705188,6.217759138257066e-06,96.83278761300893,0.345190888442503,2.8209458674127896,0.04241046553943306,2.5595248143162053e-09,19.21115517616272,0.0009403798685525544,27.461862564086914,2.1425757168458404e-06,53.28362584114075
2007Apr.png,28,Woman,white,neutral,197,178,181,181,0.00018561402126979418,0.0007044639425364484,9.182931229872866e-06,98.635959543941,0.7194388620965995,0.6437020294339675,0.25189679581671953,1.6809370562143044e-08,0.04721977165900171,0.0006775081601517741,2.1344944834709167,0.0001948705403265194,97.56551384925842
2007Dec.png,31,Woman,latino hispanic,happy,382,193,203,203,3.416118770837784,4.691339284181595,0.7243603467941284,32.7175110578537,24.997922778129578,33.4527462720871,1.2352263656367768e-07,1.0861843040283346e-17,3.78710424131512e-08,72.24088907241821,0.001328699818259338,9.292234204316685e-08,27.757781744003296
2007Oct.png,30,Woman,latino hispanic,happy,364,159,210,210,1.4269253239035606,12.72265911102295,0.5693728569895029,31.685492396354675,11.008124053478241,42.5874263048172,2.4805479150440427e-07,1.2327402266115525e-15,4.498267804352489e-07,98.52859965137242,0.00011323871369423827,3.371385038919268e-08,1.4712898937636552
2007Aug.png,31,Woman,black,sad,411,194,191,191,43.07099539464685,4.083169495056241,50.49617591477489,0.029246749469816653,0.008708147443664667,2.3117025829376328,0.03960317518170325,1.3636559669161315e-13,0.000536381257639219,20.700307702981508,77.75185373403386,1.7208213356803182e-08,1.5076941875881924
2007Sep.png,30,Woman,latino hispanic,neutral,407,177,199,199,7.262054085731506,23.43641072511673,7.587604969739914,11.714450269937515,7.247315347194672,42.752158641815186,0.050509400898590684,1.1812711919745311e-08,1.0182629339396954,0.04655447555705905,3.2487496733665466,0.012571943807415664,95.62335014343262
2003Jan.png,31,Woman,asian,neutral,261,188,368,368,26.73463523387909,21.607989072799683,23.55332374572754,2.8080156072974205,2.4163849651813507,22.879651188850403,1.708093099296093,1.2691265283137909e-05,2.0368892699480057,5.58134047423664e-05,25.85427463054657,0.01694037055131048,70.38373351097107
2003Jul.png,31,Woman,white,neutral,346,89,208,208,0.0007255079708556877,0.00022748884020984406,8.539259255258003e-06,99.36575293540955,0.17926415894180536,0.45402105897665024,18.232653351705867,0.1106277907636415,23.281491007627128,0.6062969773951796,15.330694278395859,0.12055401184511043,42.317674479761784
2003Oct.png,27,Woman,white,neutral,313,96,222,222,5.75052797794342,6.233157962560654,1.7188819125294685,36.50941848754883,22.445082664489746,27.34293043613434,0.016435175600323117,1.846373120091729e-06,0.052280418664167445,0.6166160939852056,0.05611802669386725,0.00027677248739433865,99.25827379574024
2003Mar.png,29,Woman,white,happy,365,196,201,201,1.7343172803521156,4.700768738985062,0.6082858424633741,40.48640727996826,29.19743061065674,23.272791504859924,3.7899101634764065e-07,2.521506874825219e-10,1.3743972106239344e-09,99.93335604667664,2.1165928387745225e-05,0.00019156786947860382,0.06642774678766727
2003Apr.png,30,Woman,latino hispanic,neutral,435,130,201,201,6.196381151676178,5.328730866312981,2.3106634616851807,34.33938026428223,15.229913592338562,36.594924330711365,0.11860462836921215,3.1600624894601026e-08,24.89563226699829,0.0018273220121045597,13.772104680538177,0.0016050282283686101,61.21022701263428
